metric,scope,field,pairs,mean_difference,standard_error,interval_level,interval_lower,interval_upper
fidelity,fixed_field,0.9,10,0.38779146758290733,0.007087079743757042,0.975,0.3687625815986665,0.4068203535671482
fidelity,fixed_field,1.0,10,0.22865114532007524,0.006518663380917951,0.975,0.21114846343556531,0.24615382720458517
fidelity,fixed_field,1.1,10,0.13882832391011063,0.006314597517273466,0.975,0.12187356108295111,0.15578308673727015
fidelity,equal_weight_fixed_fields,,30,0.2517569789376977,,0.975,0.24370605433048093,0.26015304043910176
zz_long_range_mae,fixed_field,0.9,10,-0.22710577188204373,0.01242712967494458,0.975,-0.2604727498540646,-0.19373879391002286
zz_long_range_mae,fixed_field,1.0,10,-0.07240730747422208,0.007311066599294803,0.975,-0.09203760059512614,-0.052777014353318025
zz_long_range_mae,fixed_field,1.1,10,-0.017953748763884884,0.003941093338042784,0.975,-0.028535627124845836,-0.007371870402923931
zz_long_range_mae,equal_weight_fixed_fields,,30,-0.10582227604005025,,0.975,-0.1165900101379854,-0.09561246414093842
energy_density_error,fixed_field,0.9,10,-0.056238637975355485,0.0019000030998010484,0.975,-0.06134016690730619,-0.05113710904340478
energy_density_error,fixed_field,1.0,10,-0.042645347169005386,0.0023307794530246484,0.975,-0.048903515281913494,-0.03638717905609728
energy_density_error,fixed_field,1.1,10,-0.03164504204579477,0.001534044918810839,0.975,-0.03576396929230554,-0.027526114799283994
energy_density_error,equal_weight_fixed_fields,,30,-0.04350967573005188,,0.975,-0.045970145120062256,-0.041216591967942605
half_chain_entropy_error,fixed_field,0.9,10,-0.39036627835741994,0.03083941855776369,0.975,-0.4731704516945282,-0.30756210502031167
half_chain_entropy_error,fixed_field,1.0,10,-0.22347326861958944,0.016241996877967492,0.975,-0.26708320641089117,-0.1798633308282877
half_chain_entropy_error,fixed_field,1.1,10,-0.14388426641722116,0.016343879383432937,0.975,-0.18776775984079846,-0.10000077299364385
half_chain_entropy_error,equal_weight_fixed_fields,,30,-0.2525746044647435,,0.975,-0.28018755153470587,-0.2258818093020912
