field,replicate,architecture,fidelity,zz_long_range_mae,energy_density_error,half_chain_entropy_error,joint_failure,physical_su4_blocks,independent_coordinates,training_shots,su4_shot_gate_exposure,modeled_entangling_exposure
0.9,90,LOCAL_LC225,0.5440622680552111,0.3016028834807435,0.07078368886381114,0.39103357444568115,0.45593773194478915,68,225,560000000,38080000000,114240000000
0.9,90,MERA_PM225,0.9709853771869064,0.02285191226835762,0.005864593287044917,0.03760425837047021,0.029014622813094304,26,225,560000000,14560000000,43680000000
0.9,91,LOCAL_LC225,0.5635533910488354,0.30159059431684937,0.06417560828802005,0.3839767775404557,0.43644660895116427,68,225,560000000,38080000000,114240000000
0.9,91,MERA_PM225,0.9565251636631178,0.10620289362456704,0.008731974327839787,0.00020422428528033,0.04347483633688143,26,225,560000000,14560000000,43680000000
0.9,92,LOCAL_LC225,0.5836578460502094,0.30158951146386465,0.06199388432297126,0.44320723720090033,0.4163421539497907,68,225,560000000,38080000000,114240000000
0.9,92,MERA_PM225,0.9622802062144922,0.10089211719504448,0.007621188618073482,0.005093003016887643,0.03771979378550727,26,225,560000000,14560000000,43680000000
0.9,93,LOCAL_LC225,0.5861666176783648,0.3015912009056852,0.05821395243409988,0.5212887060152709,0.41383338232163525,68,225,560000000,38080000000,114240000000
0.9,93,MERA_PM225,0.9516260466752001,0.05130844239240228,0.00972702270780279,0.013416311398302017,0.04837395332479999,26,225,560000000,14560000000,43680000000
0.9,94,LOCAL_LC225,0.5559267977496751,0.3015897217926602,0.06903755408453005,0.4313400666714542,0.44407320225032443,68,225,560000000,38080000000,114240000000
0.9,94,MERA_PM225,0.9627712290505663,0.026046690811794743,0.007823384132301436,0.035855606134394535,0.03722877094943433,26,225,560000000,14560000000,43680000000
0.9,95,LOCAL_LC225,0.5911580783894953,0.3015913692835073,0.060307042743715344,0.3407251657898223,0.4088419216105046,68,225,560000000,38080000000,114240000000
0.9,95,MERA_PM225,0.9502181283535257,0.11756781280053802,0.010768536509992988,0.003420405040513441,0.049781871646474074,26,225,560000000,14560000000,43680000000
0.9,96,LOCAL_LC225,0.5941597176078927,0.3015487672953254,0.06342723272050543,0.2466305472121607,0.40584028239210834,68,225,560000000,38080000000,114240000000
0.9,96,MERA_PM225,0.962734847387872,0.08728336584498088,0.008177546403947078,0.010872733141580326,0.037265152612127816,26,225,560000000,14560000000,43680000000
0.9,97,LOCAL_LC225,0.556978685177533,0.30158209561895993,0.0630057322788764,0.32836635935106234,0.4430213148224671,68,225,560000000,38080000000,114240000000
0.9,97,MERA_PM225,0.9527353674414588,0.09201144961917879,0.009241792682572969,0.03378543097848252,0.04726463255854152,26,225,560000000,14560000000,43680000000
0.9,98,LOCAL_LC225,0.5839219651893925,0.30157081932078195,0.06209495386800712,0.4475257274435531,0.41607803481060746,68,225,560000000,38080000000,114240000000
0.9,98,MERA_PM225,0.9567293156213337,0.024032124791447243,0.008901929537443731,0.05991398365495293,0.04327068437866599,26,225,560000000,14560000000,43680000000
0.9,99,LOCAL_LC225,0.5460381213570725,0.3015972619342674,0.07389482511010237,0.5847760776769743,0.45396187864292725,68,225,560000000,38080000000,114240000000
0.9,99,MERA_PM225,0.956932482538282,0.11659969724389628,0.0076901267540649965,0.015041499752271648,0.043067517461717,26,225,560000000,14560000000,43680000000
1.0,90,LOCAL_LC225,0.7601564827003963,0.13494165064801011,0.04536143029704931,0.11206949364783159,0.23984351729960462,68,225,560000000,38080000000,114240000000
1.0,90,MERA_PM225,0.9779868395134123,0.062344720311216247,0.0043782699454115726,0.005807531473919436,0.022013160486587302,26,225,560000000,14560000000,43680000000
1.0,91,LOCAL_LC225,0.7188462641109215,0.1349212240108085,0.05482106032952849,0.2773811371380685,0.2811537358890789,68,225,560000000,38080000000,114240000000
1.0,91,MERA_PM225,0.9849267095825754,0.03971092513758498,0.0033848361304569252,0.00845462958927834,0.015073290417424667,26,225,560000000,14560000000,43680000000
1.0,92,LOCAL_LC225,0.7014146100585813,0.1349483636607461,0.06518760329074902,0.2297974440586904,0.29858538994141914,68,225,560000000,38080000000,114240000000
1.0,92,MERA_PM225,0.9595504360620828,0.08742353579921834,0.007924587330617738,0.005426206406103362,0.04044956393791688,26,225,560000000,14560000000,43680000000
1.0,93,LOCAL_LC225,0.7599697888925747,0.1349336316775602,0.044681858508272665,0.23266049266820238,0.24003021110742528,68,225,560000000,38080000000,114240000000
1.0,93,MERA_PM225,0.9793331693006363,0.036047699246956354,0.004695459527836121,0.009998903064854292,0.020666830699363814,26,225,560000000,14560000000,43680000000
1.0,94,LOCAL_LC225,0.7400980138426843,0.1349495680595918,0.043832776028859044,0.2707405536956586,0.25990198615731586,68,225,560000000,38080000000,114240000000
1.0,94,MERA_PM225,0.9450110333928874,0.090709296527575,0.011164751385761118,0.007638683035395943,0.054988966607113166,26,225,560000000,14560000000,43680000000
1.0,95,LOCAL_LC225,0.7284417948775277,0.13493916045891885,0.05263532097939794,0.2210838503712299,0.2715582051224721,68,225,560000000,38080000000,114240000000
1.0,95,MERA_PM225,0.9482232442559069,0.09143374280450443,0.01052345446192593,0.01272202769951658,0.05177675574409335,26,225,560000000,14560000000,43680000000
1.0,96,LOCAL_LC225,0.7452689733786729,0.13495190637390825,0.04778149457763359,0.25851718227978326,0.25473102662132663,68,225,560000000,38080000000,114240000000
1.0,96,MERA_PM225,0.9813214219851317,0.04378746553405619,0.004306927748811917,0.0215526097789438,0.01867857801486905,26,225,560000000,14560000000,43680000000
1.0,97,LOCAL_LC225,0.7483957231503979,0.13489438074763438,0.051420941413481414,0.298545009872839,0.2516042768496025,68,225,560000000,38080000000,114240000000
1.0,97,MERA_PM225,0.9707560109748014,0.06799766929405225,0.006114915999497761,0.003670047382058339,0.02924398902519887,26,225,560000000,14560000000,43680000000
1.0,98,LOCAL_LC225,0.760605115207736,0.13494168626533465,0.04218547301796871,0.22106378869799992,0.23939488479226434,68,225,560000000,38080000000,114240000000
1.0,98,MERA_PM225,0.965837970779079,0.07259649576819172,0.007540695140768161,0.024979613839298698,0.03416202922092071,26,225,560000000,14560000000,43680000000
1.0,99,LOCAL_LC225,0.7396136070832949,0.1349501794508397,0.04463332904970341,0.21708619820435,0.26038639291670573,68,225,560000000,38080000000,114240000000
1.0,99,MERA_PM225,0.9763749906570266,0.03324712618777621,0.006053918131502467,0.0039622121693903,0.023625009342973513,26,225,560000000,14560000000,43680000000
1.1,90,LOCAL_LC225,0.843431554067779,0.05542723789740746,0.03478374708701315,0.12182289708273919,0.1565684459322223,68,225,560000000,38080000000,114240000000
1.1,90,MERA_PM225,0.9767586818201995,0.03945695390337195,0.005484132457219459,0.013906975618434514,0.023241318179799686,26,225,560000000,14560000000,43680000000
1.1,91,LOCAL_LC225,0.8060214471547297,0.05539979583835508,0.04587259405007016,0.17900775021728405,0.193978552845271,68,225,560000000,38080000000,114240000000
1.1,91,MERA_PM225,0.9835763228267917,0.033969087692866565,0.003941956667104396,0.02448937733444756,0.016423677173208362,26,225,560000000,14560000000,43680000000
1.1,92,LOCAL_LC225,0.8562036661288315,0.05538241702958757,0.03388380887158893,0.1426965517757927,0.14379633387116808,68,225,560000000,38080000000,114240000000
1.1,92,MERA_PM225,0.9885717810398238,0.028662219076760156,0.0027873796541231233,0.004491695399497064,0.01142821896017543,26,225,560000000,14560000000,43680000000
1.1,93,LOCAL_LC225,0.826690149397863,0.05540309286483399,0.03920034434571873,0.09595378916229824,0.17330985060213688,68,225,560000000,38080000000,114240000000
1.1,93,MERA_PM225,0.987089568933068,0.031975471218916696,0.002692267989777175,0.010424231478994739,0.01291043106693246,26,225,560000000,14560000000,43680000000
1.1,94,LOCAL_LC225,0.8305278354877474,0.055398676925531846,0.0363994931492726,0.1821017874731783,0.16947216451225244,68,225,560000000,38080000000,114240000000
1.1,94,MERA_PM225,0.9773689364725692,0.042610942550826994,0.005024363957672584,0.004514968969358768,0.02263106352743094,26,225,560000000,14560000000,43680000000
1.1,95,LOCAL_LC225,0.8393844579810911,0.055395493577933476,0.03562772351203458,0.14821174706431306,0.16061554201890849,68,225,560000000,38080000000,114240000000
1.1,95,MERA_PM225,0.9771995092322386,0.042131489533354834,0.005221108532531327,0.001255164890739957,0.022800490767761583,26,225,560000000,14560000000,43680000000
1.1,96,LOCAL_LC225,0.8413051253500221,0.05538794202609277,0.03823671111602556,0.19764299865357965,0.1586948746499779,68,225,560000000,38080000000,114240000000
1.1,96,MERA_PM225,0.9869233456915305,0.008902408198999262,0.0034541656485034267,0.012874406579384212,0.013076654308470048,26,225,560000000,14560000000,43680000000
1.1,97,LOCAL_LC225,0.8292278523656241,0.055403711967231595,0.036076928629422245,0.2281079006419867,0.17077214763437554,68,225,560000000,38080000000,114240000000
1.1,97,MERA_PM225,0.9543353293756663,0.05229951532238483,0.008316318172775228,0.0025347727140143106,0.045664670624334325,26,225,560000000,14560000000,43680000000
1.1,98,LOCAL_LC225,0.8466713631328343,0.0553934279880077,0.03435225998852909,0.20588273069084229,0.15332863686716525,68,225,560000000,38080000000,114240000000
1.1,98,MERA_PM225,0.9676419531506808,0.046716655343602975,0.007805262547610159,0.03674628778718769,0.03235804684931953,26,225,560000000,14560000000,43680000000
1.1,99,LOCAL_LC225,0.8461662443122144,0.055337182431096206,0.03520897269640977,0.1063985298144795,0.15383375568778546,68,225,560000000,38080000000,114240000000
1.1,99,MERA_PM225,0.9544475059372746,0.047666748066144585,0.008465207360820237,0.05774613763222347,0.045552494062726434,26,225,560000000,14560000000,43680000000
