metric,scope,field,target_su4_shot_gate_exposure,pairs,mean_difference,standard_error,interval_level,interval_lower,interval_upper
fidelity,fixed_field,0.9,26000000,10,-0.026366576630498774,0.007982054098945124,0.975,-0.047798478466042196,-0.004934674794955355
fidelity,fixed_field,1.0,26000000,10,-0.008907920130319453,0.004927963012509755,0.975,-0.02213955427161845,0.004323714010979543
fidelity,fixed_field,1.1,26000000,10,-0.015069740488459157,0.008856315185263919,0.975,-0.03884904282371808,0.008709561846799767
fidelity,equal_weight_fixed_fields,,26000000,30,-0.016781412416425792,,0.975,-0.025979144890626343,-0.007735883933539018
fidelity,fixed_field,0.9,260000000,10,0.022944829530832343,0.02500543357182824,0.975,-0.04419503083887486,0.09008468990053956
fidelity,fixed_field,1.0,260000000,10,-0.028879696902498003,0.025662280946155684,0.975,-0.0977831995969773,0.040023805791981296
fidelity,fixed_field,1.1,260000000,10,-0.0989609242357335,0.023422199734955493,0.975,-0.16184978458039054,-0.03607206389107645
fidelity,equal_weight_fixed_fields,,260000000,30,-0.03496526386913305,,0.975,-0.0648369792679445,-0.004852837765948434
fidelity,fixed_field,0.9,2600000000,10,0.04924533155279269,0.027160378489874164,0.975,-0.023680579296159826,0.1221712424017452
fidelity,fixed_field,1.0,2600000000,10,0.08515781793599778,0.03681612875712755,0.975,-0.013693887114680989,0.18400952298667655
fidelity,fixed_field,1.1,2600000000,10,0.05484971526326874,0.010355335605462741,0.975,0.027045526840176616,0.08265390368636086
fidelity,equal_weight_fixed_fields,,2600000000,30,0.06308428825068639,,0.975,0.029320947735011878,0.09529436563441243
fidelity,fixed_field,0.9,8400000000,10,-0.01484144515403223,0.0050887683573979286,0.975,-0.028504843390582034,-0.0011780469174824254
fidelity,fixed_field,1.0,8400000000,10,0.016144160409357733,0.020101739850623027,0.975,-0.03782922912944772,0.07011754994816319
fidelity,fixed_field,1.1,8400000000,10,0.0005105277553936971,0.00829718511916112,0.975,-0.02176750428759801,0.022788559798385403
fidelity,equal_weight_fixed_fields,,8400000000,30,0.0006044143369064001,,0.975,-0.01634730516257389,0.01541295572292665
zz_long_range_mae,fixed_field,0.9,26000000,10,-0.0019798509841882027,0.0007895787560586144,0.975,-0.0040998785086214275,0.000140176540245022
zz_long_range_mae,fixed_field,1.0,26000000,10,0.00022681256729064904,0.0006004283958241759,0.975,-0.0013853441882338685,0.0018389693228151665
zz_long_range_mae,fixed_field,1.1,26000000,10,-0.0008193663694321957,0.0005578308686010971,0.975,-0.0023171483023151874,0.0006784155634507959
zz_long_range_mae,equal_weight_fixed_fields,,26000000,30,-0.0008574682621099165,,0.975,-0.001669579565686383,-6.556560093707248e-05
zz_long_range_mae,fixed_field,0.9,260000000,10,-0.002583119701218245,0.0014483953089015204,0.975,-0.0064720768160969,0.00130583741366041
zz_long_range_mae,fixed_field,1.0,260000000,10,-9.04053223909157e-05,0.0005433457673319639,0.975,-0.0015492946012490496,0.0013684839564672183
