field,replicate,architecture,target_su4_shot_gate_exposure,achieved_su4_shot_gate_exposure,achieved_modeled_entangling_exposure,achieved_training_shots,objective_queries,fidelity,zz_long_range_mae,energy_density_error,half_chain_entropy_error,joint_failure,physical_su4_blocks,independent_coordinates
0.9,80,MERA_PM225,26000000,26000000,78000000,1000000,200,0.04367679234790141,0.30011190129236376,0.4985241046039015,0.3381289967061415,0.9563232076520987,26,225
0.9,80,MPS,26000000,26400000,79200000,1760000,352,0.07818409426798953,0.30160016086149455,0.4047401457215798,0.7802703210811006,0.9218159057320103,15,225
0.9,81,MERA_PM225,26000000,26000000,78000000,1000000,200,0.00978757680985385,0.3019562870646356,0.6170154000888038,0.3010200164942317,0.9902124231901461,26,225
0.9,81,MPS,26000000,26400000,79200000,1760000,352,0.06058409378238903,0.3016001229083535,0.3719059308719377,0.711566585665547,0.9394159062176108,15,225
0.9,82,MERA_PM225,26000000,26000000,78000000,1000000,200,0.03240349826244124,0.2944929930016471,0.6665120622265981,0.13600071066052744,0.9675965017375588,26,225
0.9,82,MPS,26000000,26400000,79200000,1760000,352,0.027818644634431088,0.3016000926005783,0.5350776591414881,0.518561547554532,0.9721813553655689,15,225
0.9,83,MERA_PM225,26000000,26000000,78000000,1000000,200,0.05084438566257618,0.2962172121839724,0.4772627807580676,0.18960069750272213,0.9491556143374236,26,225
0.9,83,MPS,26000000,26400000,79200000,1760000,352,0.11134151543307128,0.301600173767416,0.32806209949670206,0.7801336761678938,0.8886584845669286,15,225
0.9,84,MERA_PM225,26000000,26000000,78000000,1000000,200,0.01805386720042422,0.3019558383280998,0.585361883320177,0.6596022286576865,0.9819461327995758,26,225
0.9,84,MPS,26000000,26400000,79200000,1760000,352,0.02256294475982545,0.3015999145254464,0.46502359133723714,0.07292723988990979,0.9774370552401745,15,225
0.9,85,MERA_PM225,26000000,26000000,78000000,1000000,200,0.018665066270205845,0.3013064772623096,0.606230821155054,0.4947427415567404,0.9813349337297941,26,225
0.9,85,MPS,26000000,26400000,79200000,1760000,352,0.030665558004253083,0.3016000693175943,0.48066798079728557,0.592479500367464,0.9693344419957469,15,225
