architecture,field,target_su4_shot_gate_exposure,count,achieved_training_shots,achieved_su4_shot_gate_exposure,fidelity_mean,fidelity_se,zz_long_range_mae_mean,zz_long_range_mae_se,energy_density_error_mean,half_chain_entropy_error_mean
MERA_PM225,0.9,26000000,10,1000000,26000000,0.02985482264449817,0.005948991164323425,0.29961909105170903,0.0007895013978537892,0.5748492537047805,0.3105061401378163
MERA_PM225,0.9,260000000,10,10000000,260000000,0.35963960951718754,0.023027593352765958,0.29901709740809596,0.0014480147366651135,0.14089872680164556,0.442692003883984
MERA_PM225,0.9,2600000000,10,100160000,2604160000,0.9322200316492399,0.005555060361465084,0.10566538942136547,0.014518900042733051,0.013398235116008683,0.032031929476990705
MERA_PM225,0.9,8400000000,10,323200000,8403200000,0.9508149762002797,0.0040863887026140544,0.08378428079144361,0.0147889300228147,0.009749678199912858,0.04011074251314957
MERA_PM225,1.0,26000000,10,1000000,26000000,0.03564262322874247,0.009312643049636731,0.13517515889455098,0.0006004568593709874,0.5284003107526696,0.265547026425315
MERA_PM225,1.0,260000000,10,10000000,260000000,0.4633643761466968,0.019831936694299338,0.13485769385731067,0.0005433445293736453,0.1356551048810767,0.2626248414663003
MERA_PM225,1.0,2600000000,10,100160000,2604160000,0.9159284231001756,0.026780774430430265,0.09399369764075953,0.008251280888895419,0.01552511958600169,0.06037645399610521
MERA_PM225,1.0,8400000000,10,323200000,8403200000,0.9446985009247815,0.013482331374014615,0.08029886283176435,0.009032811448713318,0.010202752723151475,0.035518559033431325
MERA_PM225,1.1,26000000,10,1000000,26000000,0.020713108926247795,0.00594417949422827,0.054580637995025605,0.0005578113851712614,0.6571686913797123,0.23265093051774105
MERA_PM225,1.1,260000000,10,10000000,260000000,0.5014601150642914,0.023210953104560072,0.055121246847290084,0.0009374957231917584,0.13980380911557655,0.205246376172118
MERA_PM225,1.1,2600000000,10,100160000,2604160000,0.9511986658740923,0.005916362288052548,0.04778199063430492,0.0015699868616174113,0.01118349275715067,0.01830135388789781
MERA_PM225,1.1,8400000000,10,323200000,8403200000,0.9650739539007152,0.004819504190386179,0.04385981065268793,0.0022249393698503335,0.008274718257356728,0.009857169740326743
MPS,0.9,26000000,10,1760000,26400000,0.05622139927499694,0.01140462192535722,0.30159894203589727,9.133733803293284e-07,0.43243150043497913,0.446881596059079
MPS,0.9,260000000,10,17360000,260400000,0.3366947799863552,0.00808600746708837,0.3016002171093142,4.881226560702844e-07,0.13607640921621592,0.5183230069548674
MPS,0.9,2600000000,10,173440000,2601600000,0.8829747000964472,0.02291543434932044,0.19894880771552656,0.016265441142029245,0.017130631588620382,0.1088516825909791
MPS,0.9,8400000000,10,560000000,8400000000,0.9656564213543118,0.0031050112216472795,0.10384744558661607,0.004848828005893562,0.0065243134885544455,0.05593834350924064
MPS,1.0,26000000,10,1760000,26400000,0.04455054335906192,0.011142324453650746,0.13494834632726033,5.2511708645959945e-08,0.46596373429251126,0.3366105405995207
MPS,1.0,260000000,10,17360000,260400000,0.49224407304919476,0.012758970363313473,0.1349480991797016,1.9780429936911964e-07,0.11801557225273093,0.39748915081491976
MPS,1.0,2600000000,10,173440000,2601600000,0.8307706051641779,0.018793493848598356,0.12816652223311698,0.003467954104978067,0.027622575122747774,0.15689166569545376
MPS,1.0,8400000000,10,560000000,8400000000,0.9285543405154237,0.01171236184925762,0.10323397657590157,0.005659110747728185,0.012265160548569054,0.07585687242570346
MPS,1.1,26000000,10,1760000,26400000,0.035782849414706955,0.00983938450504921,0.0554000043644578,1.2980714848165554e-07,0.4970994174125041,0.24795122310967402
MPS,1.1,260000000,10,17360000,260400000,0.6004210393000249,0.009375056432492658,0.05539961958639594,5.275687357269279e-07,0.10871750594744792,0.22953541836731267
MPS,1.1,2600000000,10,173440000,2601600000,0.8963489506108238,0.0090351392557667,0.05400509425898886,0.00041659170152303553,0.02088197438555157,0.11517249407424565
MPS,1.1,8400000000,10,560000000,8400000000,0.9645634261453215,0.005806346054928168,0.04460794856632276,0.001516789318977792,0.00757483487523114,0.04502463538361454
