field,restart,architecture,converged,completed_steps,final_gradient_norm,elapsed_seconds,fidelity,zz_long_range_mae,energy_density_error,half_chain_entropy_error,joint_failure,eta_sum
0.9,200,MERA_PM225,False,5000,0.0002641647758695968,298.5826757909963,0.9892265857090224,0.008774240709599583,0.0021478411937343456,0.001107686684659881,0.010773414290978778,0.017438167652488575
0.9,200,MPS,False,5000,0.0001585316369247464,164.5475475420244,0.9796746667133565,0.08570338629224622,0.003717565321410543,0.06071480974137888,0.020325333286643543,0.03362635747230782
0.9,201,MERA_PM225,False,5000,9.636168116105816e-05,320.4982350830687,0.9935153891476838,0.009315846236148805,0.0012740886393898254,0.00028420117745331375,0.0064846108523172186,0.011110489646199867
0.9,201,MPS,False,5000,9.201287303622945e-05,189.50458779197652,0.9796717704031581,0.08574755878780516,0.0037185456933983563,0.06072152995666025,0.02032822959684233,0.0336436977789387
0.9,202,MERA_PM225,False,5000,0.00017325501061720352,357.72832179197576,0.9862018717831952,0.008394997421402466,0.003200855890288956,0.0066093008873103765,0.013798128216803929,0.025851944200649197
0.9,202,MPS,False,5000,0.0004053386651115377,198.36275941692293,0.9796563797567215,0.08569390671946757,0.0037186001623250586,0.06098485380197671,0.02034362024327907,0.03391153629707995
0.9,203,MERA_PM225,False,5000,9.797971584676358e-05,413.59163720801007,0.9890389357723295,0.009659289127423604,0.0021837727044358157,0.0006931327556053413,0.010961064227671513,0.017437421030381855
0.9,203,MPS,False,5000,0.00022035433370709337,256.3762202919461,0.979639065111808,0.08587018871396047,0.0037246471194920527,0.06071862567094122,0.020360934888191462,0.03401990735144781
0.9,204,MERA_PM225,False,5000,0.0001751732198041204,378.94680774991866,0.993525084545849,0.009559973929087882,0.0012934091158218752,0.003564609674502006,0.006474915454151242,0.011172890769548204
0.9,204,MPS,False,5000,0.0001394860293461333,213.83452012506314,0.9796758318727564,0.08568933315611676,0.003718773781338447,0.06072148213824857,0.020324168127243247,0.03357827916955517
0.9,205,MERA_PM225,False,5000,0.0004057326583311558,412.58339279098436,0.9825533456590593,0.05657464194447876,0.0029373738282048034,0.009976918706021798,0.017446654340940282,0.025390722139159674
0.9,205,MPS,False,5000,0.00013941282495001607,249.32469170796685,0.9796759514456687,0.08568081460476835,0.0037189403132142917,0.06071535421863794,0.02032404855433112,0.033585292320357854
0.9,206,MERA_PM225,False,5000,0.00038978381634037376,387.4220445830142,0.9892313020670422,0.006789259954347496,0.002169046588144541,0.0005915033321689522,0.010768697932958093,0.01796061933423715
0.9,206,MPS,False,5000,9.957400255881283e-05,218.47181958297733,0.9796799584139585,0.08566259911604727,0.0037201694064339375,0.06064150114240896,0.02032004158604117,0.03359584032694638
0.9,207,MERA_PM225,False,5000,0.00032448021509971846,454.6095851659775,0.9827569908861459,0.05632511423961724,0.0028922680255902833,0.010131178611929803,0.017243009113854124,0.02596129982829706
0.9,207,MPS,False,5000,0.00012613921736517408,285.8356071659364,0.9796746699928861,0.08572180268509216,0.0037192987401024613,0.06066936205335871,0.02032533000711445,0.0336047301184603
0.9,208,MERA_PM225,False,5000,0.0032839024500266843,398.4443603750551,0.9786452790818594,0.07214502118639032,0.003939733940065304,0.06663904732244519,0.021354720918140835,0.034405822560918176
0.9,208,MPS,False,5000,7.106928625373261e-05,226.51468241692055,0.9796758782930969,0.08569887058547984,0.003718672970398851,0.060721114376692475,0.020324121706903897,0.03355834622239026
0.9,209,MERA_PM225,False,5000,0.00019221865420346765,379.7704169161152,0.9935337285620852,0.009364869592880985,0.0012820012405487802,0.0006510704861729666,0.006466271437914339,0.010864548310551506
0.9,209,MPS,False,5000,3.817029207150534e-05,207.01259229099378,0.9796760011553324,0.08569678553165128,0.003718914078479907,0.06072604844310969,0.0203239988446684,0.03355784143973823
0.9,210,MERA_PM225,False,5000,0.0002865598032401439,380.2771365829976,0.9935777859387741,0.009559208693741106,0.0012742114110386726,0.0025714043483491267,0.006422214061225118,0.011149578268792475
0.9,210,MPS,False,5000,6.775654426445521e-05,212.2865480419714,0.9796757224603896,0.08570548848393886,0.0037184470545834625,0.060716326398937315,0.02032427753961108,0.03356027860820498
0.9,211,MERA_PM225,False,5000,0.00016323797557764918,391.09572666708846,0.9888830224089442,0.01147777988995555,0.002244288571292996,0.0029123207967437503,0.011116977591055455,0.01776873667296333
0.9,211,MPS,False,5000,3.597154551648828e-05,221.7143034170149,0.9796759071132769,0.08567058341792078,0.003719207235034494,0.06071793688844618,0.020324092886723766,0.03369727814126021
0.9,212,MERA_PM225,False,5000,0.00047006338021871686,371.6432017920306,0.9825911968878662,0.0598254207824012,0.002907669083989317,0.013924874803082576,0.017408803112134774,0.025611468942918512
0.9,212,MPS,False,5000,8.716930699679308e-05,214.5322391251102,0.9796755726335012,0.08569520785231632,0.0037189682656870726,0.06072379468811939,0.020324427366499753,0.03358090103921307
